attr,title,url,price,sd_year,bias,sd_url,sd_price,check,sd
1室0厅0卫-朝南-建筑面积25㎡-毛坯-低楼层(共1层)-2014年建成,誉港湾花园车位出售,/esf/detail/8609989,2800,2009,9101.0,/xq/detail/5791,11901,小户,誉港湾花园
车位-建筑面积33.59㎡-套内面积20㎡-普装-低楼层(共1层)-2011年建成,.业主原购价出售,/esf/detail/7606760,2977,2011,17856.0,/xq/detail/6395,20833,车位,雅湖半岛
车位-建筑面积30㎡-套内面积24㎡-毛坯-低楼层(共1层)-2008年建成,叠翠园、毛坯停车位！！！,/esf/detail/7498930,3000,2008,16115.0,/xq/detail/6524,19115,车位,叠翠园
车位-建筑面积30㎡-套内面积30㎡-普装-低楼层(共1层)-2011年建成,雅湖半岛地下车位业主诚心出售,/esf/detail/9587193,3333,2011,17500.0,/xq/detail/6395,20833,车位,雅湖半岛
车位-建筑面积34㎡-套内面积20㎡-精装-低楼层(共30层)-2011年建成,有产权车位，业主诚心出售,/esf/detail/7957724,3824,2011,17009.0,/xq/detail/6395,20833,车位,雅湖半岛
1室1厅1卫-朝南-建筑面积26㎡-普装-高楼层(共7层)-2000年建成,开发区名嘉花园带装修一房一厅业主诚心出售,/esf/detail/5979055,3846,2000,3802.0,/xq/detail/6182,7648,小户/高楼层/老小区,名嘉花园
车位-建筑面积25.69㎡-套内面积13.2㎡-毛坯-低楼层(共1层)-2014年建成,诚心出售有意联系,/esf/detail/9617059,3893,2009,8008.0,/xq/detail/5791,11901,车位,誉港湾花园
车位-建筑面积33㎡-套内面积15㎡-毛坯-低楼层(共1层)-2008年建成,雅湖居车位，业主诚心出售,/esf/detail/9384379,3939,2008,14138.0,/xq/detail/6776,18077,车位,雅湖居
1室1厅1卫-朝西-建筑面积38㎡-普装-高楼层(共7层)-2000年建成,业主诚心出售,/esf/detail/299814,3947,2000,3701.0,/xq/detail/6182,7648,小户/高楼层/老小区,名嘉花园
车位-建筑面积35.14㎡-套内面积12㎡-毛坯-低楼层(共1层)-2008年建成,业主诚心出售,/esf/detail/7397730,3984,2006,8107.0,/xq/detail/6356,12091,车位,健康花城
